alpha_z,epsilon,seed,ate_lower,ate_upper,ate_width,true_ate,coverage,cate_width_z0,cate_width_z1,feasible,lp_status,instrument_strength
0.25,0.05,43,0.13044861460854368,0.2631764607793025,0.13272784617075883,0.2131249618505535,True,0.1258303523465607,0.13962533999495697,True,optimal,0.033757784508646194
0.25,0.05,44,0.1511371534010399,0.24275322931599452,0.09161607591495463,0.2131249618505535,True,0.08792710184307317,0.09530504998683609,True,optimal,0.07931018715192228
0.25,0.05,42,0.17488136353140216,0.26636953632641847,0.09148817279501631,0.2131249618505535,True,0.10423389113356651,0.0787424544564661,True,optimal,0.05316977513568011
0.25,0.05,47,0.156148532336776,0.27203448231402044,0.11588594997724444,0.2131249618505535,True,0.16228609628545398,0.0694858036690349,True,optimal,0.0649202697492115
0.25,0.05,49,0.15537324100106198,0.2514310468557016,0.09605780585463963,0.2131249618505535,True,0.09066414410331669,0.10145146760596258,True,optimal,0.0603195929056084
0.25,0.05,46,0.1665800227288473,0.24843233261735798,0.08185230988851067,0.2131249618505535,True,0.09370991899786252,0.06999470077915881,True,optimal,0.06907241105158579
0.25,0.05,45,0.1540424130833581,0.25235392726376304,0.09831151418040496,0.2131249618505535,True,0.07773622120232226,0.11888680715848765,True,optimal,0.04446457785549518
0.25,0.05,48,0.1381992035055471,0.26374955075208273,0.12555034724653563,0.2131249618505535,True,0.11814934031255087,0.1329513541805204,True,optimal,0.05274232436559889
0.25,0.05,50,0.16160920982985438,0.25744269436231854,0.09583348453246415,0.2131249618505535,True,0.09833350911799332,0.09333345994693498,True,optimal,0.057297343489129515
0.25,0.05,51,0.15154943684848965,0.26920061786282945,0.1176511810143398,0.2131249618505535,True,0.12127875576964464,0.11402360625903496,True,optimal,0.059588383059856365
0.25,0.05,52,0.16821744626471585,0.2738140210657165,0.10559657480100065,0.2131249618505535,True,0.10524365326822593,0.10594949633377537,True,optimal,0.0657656480315103
0.25,0.05,53,0.1857666531337055,0.2814647201756227,0.09569806704191719,0.2131249618505535,True,0.10835596163478234,0.08304017244905204,True,optimal,0.06065315651622716
0.25,0.05,58,0.1354076003616161,0.2753504559705445,0.13994285560892844,0.2131249618505535,True,0.13666440334693108,0.1432213078709258,True,optimal,0.055497102072581295
0.25,0.05,55,0.15059632605157536,0.2824308905878093,0.13183456453623393,0.2131249618505535,True,0.11695470574692579,0.14671442332554208,True,optimal,0.05195412804108457
0.25,0.05,54,,,,0.2131249618505535,False,,,False,infeasible,0.05635354302261608
0.25,0.05,56,0.1281339798451644,0.26071068946198567,0.13257670961682128,0.2131249618505535,True,0.14726079570384376,0.11789262352979879,True,optimal,0.06689047251309432
0.25,0.05,57,0.15852618485583064,0.2416701242329925,0.08314393937716186,0.2131249618505535,True,0.08401206657486016,0.08227581217946356,True,optimal,0.04758356710670897
0.25,0.05,59,0.1650401395160579,0.2555789543296082,0.0905388148135503,0.2131249618505535,True,0.07162005414940309,0.10945757547769752,True,optimal,0.04733928165381207
0.25,0.05,60,0.1694653760248026,0.24941248427417123,0.07994710824936863,0.2131249618505535,True,0.10749663395291054,0.052397582545826715,True,optimal,0.06367409018785442
0.25,0.05,62,0.15932792082598818,0.2761598980000836,0.11683197717409544,0.2131249618505535,True,0.11267534397477164,0.12098861037341924,True,optimal,0.05637872800503285
0.25,0.05,61,0.15761685518206042,0.2660555560281323,0.10843870084607188,0.2131249618505535,True,0.10711784064185836,0.10975956105028539,True,optimal,0.05846817712191055
0.25,0.05,67,0.12386508243999139,0.24869737002663378,0.12483228758664239,0.2131249618505535,True,0.1112364105355631,0.13842816463772167,True,optimal,0.04551746250230704
0.25,0.05,63,0.178092746243375,0.26041651372559665,0.08232376748222164,0.2131249618505535,True,0.09748604113503045,0.06716149382941283,True,optimal,0.050498780254395914
0.25,0.05,68,0.15625462356268582,0.2770981620888489,0.12084353852616309,0.2131249618505535,True,0.1402298750914428,0.10145720196088337,True,optimal,0.0602213667187681
0.25,0.05,64,0.15296879868802477,0.24909229363820706,0.0961234949501823,0.2131249618505535,True,0.07335497027818227,0.11889201962218232,True,optimal,0.06936606292697822
0.25,0.05,66,0.169851776046273,0.24767952017952027,0.07782774413324728,0.2131249618505535,True,0.10503544951651711,0.05062003874997745,True,optimal,0.06701757809195252
0.25,0.05,65,0.17916596765779558,0.28066227721196124,0.10149630955416566,0.2131249618505535,True,0.10743947898116912,0.0955531401271622,True,optimal,0.057889447236180835
0.25,0.05,69,0.1600145520813121,0.2533686277288632,0.0933540756475511,0.2131249618505535,True,0.11014971551436781,0.0765584357807344,True,optimal,0.07036197348767981
0.25,0.05,70,0.1544342860270187,0.26568322169941355,0.11124893567239486,0.2131249618505535,True,0.10936444291056113,0.11313342843422858,True,optimal,0.07358663701099577
0.25,0.05,71,0.177160888835371,0.254609001147586,0.07744811231221499,0.2131249618505535,True,0.06164414697464726,0.09325207764978272,True,optimal,0.06785461040785934
0.25,0.05,73,0.1560684031929454,0.26748883428850023,0.11142043109555483,0.2131249618505535,True,0.11177672023295959,0.11106414195815006,True,optimal,0.05607506731197842
0.25,0.05,72,0.1518885392926999,0.26902373927436574,0.11713519998166583,0.2131249618505535,True,0.1132985694169717,0.12097183054635996,True,optimal,0.0556425414044841
0.25,0.05,77,0.17073087927884484,0.26468800773040657,0.09395712845156173,0.2131249618505535,True,0.10380788240619077,0.0841063744969327,True,optimal,0.07211539615426155
0.25,0.05,78,0.17669829753347005,0.25836464566116224,0.08166634812769219,0.2131249618505535,True,0.0843070986983181,0.07902559755706628,True,optimal,0.05518951799082794
0.25,0.05,76,0.16643842704077544,0.2510386956655417,0.08460026862476627,0.2131249618505535,True,0.06810088816479798,0.10109964908473457,True,optimal,0.05284401943396744
0.25,0.05,74,0.17100525032978897,0.27215902813060067,0.1011537778008117,0.2131249618505535,True,0.11224040429150706,0.09006715131011633,True,optimal,0.054840011495643326
