study,pattern,beta,epsilon_frac,epsilon_scaled,outcome_std,outcome_mean,n_obs,n_treated,n_control,ate_lower,ate_upper,width,width_ratio,coverage,true_ate,naive_ate,naive_bias,n_valid_sites,n_treated_sites,n_control_sites,theta_1_min,theta_1_max,theta_1_range,theta_0_min,theta_0_max,theta_0_range,point_estimate
anchoring1,age,0.25,0.05,76.84713870657282,1536.9427741314564,2670.241941529235,2668,1367,1301,2537.2616049397957,278.9538927977609,-2258.3077121420347,-1.4693505510758067,False,1555.6658181083942,1547.3828524791297,-8.282965629264481,34,34,34,2629.8846153846152,4042.25,1412.3653846153848,1351.2941176470588,2504.625,1153.3308823529412,1671.0193944730652
anchoring1,age,0.25,0.1,153.69427741314564,1536.9427741314564,2670.241941529235,2668,1367,1301,2383.56732752665,432.6481702109065,-1950.9191573157434,-1.2693505510758067,False,1555.6658181083942,1547.3828524791297,-8.282965629264481,34,34,34,2629.8846153846152,4042.25,1412.3653846153848,1351.2941176470588,2504.625,1153.3308823529412,1671.0193944730652
anchoring1,age,0.25,0.15,230.54141611971846,1536.9427741314564,2670.241941529235,2668,1367,1301,2229.8730501135046,586.3424476240522,-1643.5306024894526,-1.069350551075807,False,1555.6658181083942,1547.3828524791297,-8.282965629264481,34,34,34,2629.8846153846152,4042.25,1412.3653846153848,1351.2941176470588,2504.625,1153.3308823529412,1671.0193944730652
anchoring1,age,0.25,0.2,307.3885548262913,1536.9427741314564,2670.241941529235,2668,1367,1301,2076.178772700359,740.0367250371978,-1336.142047663161,-0.8693505510758069,False,1555.6658181083942,1547.3828524791297,-8.282965629264481,34,34,34,2629.8846153846152,4042.25,1412.3653846153848,1351.2941176470588,2504.625,1153.3308823529412,1671.0193944730652
anchoring1,age,0.5,0.05,76.78184730067294,1535.6369460134586,2652.4699848024316,2632,1340,1292,2726.585114922464,132.28591682356804,-2594.299198098896,-1.689396184973111,False,1555.6658181083942,1528.2791437549097,-27.386674353484523,34,34,34,2417.0,4227.291666666667,1810.291666666667,1347.142857142857,2438.277777777778,1091.1349206349207,1670.5828567254368
anchoring1,age,0.5,0.1,153.56369460134587,1535.6369460134586,2652.4699848024316,2632,1340,1292,2573.0214203211185,285.8496114249139,-2287.1718088962048,-1.4893961849731112,False,1555.6658181083942,1528.2791437549097,-27.386674353484523,34,34,34,2417.0,4227.291666666667,1810.291666666667,1347.142857142857,2438.277777777778,1091.1349206349207,1670.5828567254368
anchoring1,age,0.5,0.15,230.34554190201877,1535.6369460134586,2652.4699848024316,2632,1340,1292,2419.4577257197725,439.4133060262597,-1980.0444196935127,-1.289396184973111,False,1555.6658181083942,1528.2791437549097,-27.386674353484523,34,34,34,2417.0,4227.291666666667,1810.291666666667,1347.142857142857,2438.277777777778,1091.1349206349207,1670.5828567254368
anchoring1,age,0.5,0.2,307.12738920269175,1535.6369460134586,2652.4699848024316,2632,1340,1292,2265.8940311184265,592.9770006276057,-1672.9170304908207,-1.0893961849731109,False,1555.6658181083942,1528.2791437549097,-27.386674353484523,34,34,34,2417.0,4227.291666666667,1810.291666666667,1347.142857142857,2438.277777777778,1091.1349206349207,1670.5828567254368
anchoring1,age,1.0,0.05,76.94430741455223,1538.8861482910445,2616.9834150018846,2653,1314,1339,2858.18709945661,178.164805305295,-2680.0222941513152,-1.741533834148497,False,1555.6658181083942,1552.8017276460885,-2.8640904623057395,34,34,34,2516.8,4243.535714285715,1726.7357142857145,1231.46,2492.5238095238096,1261.0638095238096,1716.5148296422333
anchoring1,age,1.0,0.1,153.88861482910445,1538.8861482910445,2616.9834150018846,2653,1314,1339,2704.298484627506,332.05342013439946,-2372.2450644931064,-1.541533834148497,False,1555.6658181083942,1552.8017276460885,-2.8640904623057395,34,34,34,2516.8,4243.535714285715,1726.7357142857145,1231.46,2492.5238095238096,1261.0638095238096,1716.5148296422333
anchoring1,age,1.0,0.15,230.83292224365667,1538.8861482910445,2616.9834150018846,2653,1314,1339,2550.4098697984014,485.9420349635039,-2064.4678348348975,-1.341533834148497,False,1555.6658181083942,1552.8017276460885,-2.8640904623057395,34,34,34,2516.8,4243.535714285715,1726.7357142857145,1231.46,2492.5238095238096,1261.0638095238096,1716.5148296422333
anchoring1,age,1.0,0.2,307.7772296582089,1538.8861482910445,2616.9834150018846,2653,1314,1339,2396.521254969297,639.8306497926084,-1756.6906051766887,-1.141533834148497,False,1555.6658181083942,1552.8017276460885,-2.8640904623057395,34,34,34,2516.8,4243.535714285715,1726.7357142857145,1231.46,2492.5238095238096,1261.0638095238096,1716.5148296422333
anchoring1,gender,0.25,0.05,77.05625232475741,1541.1250464951481,2703.571268237935,2673,1401,1272,3004.5396692635286,608.7292809653044,-2395.810388298224,-1.5545853295596068,False,1555.6658181083942,1535.2324502040324,-20.43336790436183,36,36,36,2993.2105263157896,4113.0,1119.7894736842104,954.3478260869565,2538.59375,1584.2459239130435,1712.1817084368688
anchoring1,gender,0.25,0.1,154.11250464951482,1541.1250464951481,2703.571268237935,2673,1401,1272,2850.4271646140137,762.8417856148192,-2087.5853789991943,-1.3545853295596066,False,1555.6658181083942,1535.2324502040324,-20.43336790436183,36,36,36,2993.2105263157896,4113.0,1119.7894736842104,954.3478260869565,2538.59375,1584.2459239130435,1712.1817084368688
anchoring1,gender,0.25,0.15,231.1687569742722,1541.1250464951481,2703.571268237935,2673,1401,1272,2696.3146599644992,916.9542902643341,-1779.3603697001652,-1.154585329559607,False,1555.6658181083942,1535.2324502040324,-20.43336790436183,36,36,36,2993.2105263157896,4113.0,1119.7894736842104,954.3478260869565,2538.59375,1584.2459239130435,1712.1817084368688
anchoring1,gender,0.25,0.2,308.22500929902964,1541.1250464951481,2703.571268237935,2673,1401,1272,2542.2021553149843,1071.0667949138488,-1471.1353604011356,-0.954585329559607,False,1555.6658181083942,1535.2324502040324,-20.43336790436183,36,36,36,2993.2105263157896,4113.0,1119.7894736842104,954.3478260869565,2538.59375,1584.2459239130435,1712.1817084368688
anchoring1,gender,0.5,0.05,76.99073227737412,1539.8146455474823,2698.932422451994,2708,1415,1293,3025.495808172525,672.3762013968537,-2353.119606775671,-1.528183676898993,False,1555.6658181083942,1568.5626999417902,12.896881833396037,35,35,35,3107.3947368421054,4131.25,1023.8552631578946,951.7727272727273,2589.0,1637.2272727272727,1729.321191619835
anchoring1,gender,0.5,0.1,153.98146455474824,1539.8146455474823,2698.932422451994,2708,1415,1293,2871.5143436177764,826.3576659516019,-2045.1566776661743,-1.3281836768989927,False,1555.6658181083942,1568.5626999417902,12.896881833396037,35,35,35,3107.3947368421054,4131.25,1023.8552631578946,951.7727272727273,2589.0,1637.2272727272727,1729.321191619835
anchoring1,gender,0.5,0.15,230.97219683212234,1539.8146455474823,2698.932422451994,2708,1415,1293,2717.5328790630283,980.3391305063501,-1737.1937485566782,-1.128183676898993,False,1555.6658181083942,1568.5626999417902,12.896881833396037,35,35,35,3107.3947368421054,4131.25,1023.8552631578946,951.7727272727273,2589.0,1637.2272727272727,1729.321191619835
