method,ate,se,ci_lower,ci_upper,n_treated,n_control,ground_truth_ate,bias,abs_bias,relative_bias,covers_truth,study,pattern,beta,seed,dataset_path,ground_truth_se,n_obs,propensity_mean,propensity_std,propensity_min,propensity_max,n_used,r_squared,n_matched,match_rate,caliper_used,error
naive,-0.16019783105170127,0.012757789298394278,-0.18520309807655405,-0.13519256402684848,1552.0,1598.0,-0.1651081063057128,0.004910275254011526,0.004910275254011526,-0.029739758779134085,True,allowedforbidden,demo_full,0.1,42,confounded_datasets/allowedforbidden/demo_full_beta0.1_seed42.csv,0.0088964973880483,3150,,,,,,,,,,
ipw,-0.16291124042985994,0.01199683601698226,-0.18642503902314517,-0.1393974418365747,,,-0.1651081063057128,0.0021968658758528548,0.0021968658758528548,-0.013305620935323165,True,allowedforbidden,demo_full,0.1,42,confounded_datasets/allowedforbidden/demo_full_beta0.1_seed42.csv,0.0088964973880483,3150,0.4927120025151074,0.030742695980199245,0.41122641587450903,0.5998228657475599,3150.0,,,,,
outcome_regression,-0.16297989765964238,0.012077635231222468,-0.1866520627128384,-0.13930773260644636,,,-0.1651081063057128,0.002128208646070412,0.002128208646070412,-0.012889788961238756,True,allowedforbidden,demo_full,0.1,42,confounded_datasets/allowedforbidden/demo_full_beta0.1_seed42.csv,0.0088964973880483,3150,,,,,3150.0,0.056401269113178776,,,,
aipw,-0.16296269580786482,0.01272335456353032,-0.18790047075238425,-0.1380249208633454,,,-0.1651081063057128,0.0021454104978479716,0.0021454104978479716,-0.01299397434718043,True,allowedforbidden,demo_full,0.1,42,confounded_datasets/allowedforbidden/demo_full_beta0.1_seed42.csv,0.0088964973880483,3150,0.4927120025151074,0.030742695980199245,,,3150.0,,,,,
psm,-0.09536082474226804,0.014017276692253547,-0.12283468705908498,-0.06788696242545109,1552.0,1598.0,-0.1651081063057128,0.06974728156344476,0.06974728156344476,-0.422434022920118,False,allowedforbidden,demo_full,0.1,42,confounded_datasets/allowedforbidden/demo_full_beta0.1_seed42.csv,0.0088964973880483,3150,,,,,,,1552.0,1.0,0.006148539196039849,
naive,-0.1557005186655568,0.012727844260063246,-0.18064709341528074,-0.13075394391583284,1552.0,1610.0,-0.1651081063057128,0.009407587640156007,0.009407587640156007,-0.05697835103708958,True,allowedforbidden,demo_full,0.25,42,confounded_datasets/allowedforbidden/demo_full_beta0.25_seed42.csv,0.0088964973880483,3162,,,,,,,,,,
ipw,-0.16270487007200252,0.013223698892879103,-0.18862331990204556,-0.13678642024195947,,,-0.1651081063057128,0.0024032362337102764,0.0024032362337102764,-0.014555531448349751,True,allowedforbidden,demo_full,0.25,42,confounded_datasets/allowedforbidden/demo_full_beta0.25_seed42.csv,0.0088964973880483,3162,0.4908205684486331,0.07847189238393835,0.3019915698035471,0.7963349996533345,3162.0,,,,,
outcome_regression,-0.1632983553243635,0.013182321129055758,-0.18913570473731278,-0.1374610059114142,,,-0.1651081063057128,0.0018097509813493062,0.0018097509813493062,-0.0109610062270255,True,allowedforbidden,demo_full,0.25,42,confounded_datasets/allowedforbidden/demo_full_beta0.25_seed42.csv,0.0088964973880483,3162,,,,,3162.0,0.05549713281548141,,,,
aipw,-0.16288065790006137,0.012834485569678535,-0.1880362496166313,-0.13772506618349145,,,-0.1651081063057128,0.002227448405651422,0.002227448405651422,-0.013490848241739852,True,allowedforbidden,demo_full,0.25,42,confounded_datasets/allowedforbidden/demo_full_beta0.25_seed42.csv,0.0088964973880483,3162,0.4908205684486331,0.07847189238393835,,,3162.0,,,,,
psm,-0.1334622823984527,0.013249990007992866,-0.1594322628141187,-0.10749230198278668,1552.0,1610.0,-0.1651081063057128,0.03164582390726009,0.03164582390726009,-0.19166729372248353,False,allowedforbidden,demo_full,0.25,42,confounded_datasets/allowedforbidden/demo_full_beta0.25_seed42.csv,0.0088964973880483,3162,,,,,,,1551.0,0.9993556701030928,0.01569437847678767,
