method,beta,n_datasets,mean_ate,mean_bias,median_bias,mean_abs_bias,rmse,bias_std,coverage,mean_se,mean_ci_width
aipw,0.1,75.0,565.6618846087935,-1.1287045110876714,-0.0003254704319901325,5.7583998591758325,13.492949432359504,13.536201854763387,0.013333333333333334,11.683778958095324,45.800413515733666
aipw,0.25,75.0,566.1032888581689,-0.6873002617122672,0.0033621169168944753,6.40264864025189,15.236175018762166,15.323162367865262,0.013333333333333334,11.791413546496619,46.22234110226674
aipw,0.5,75.0,562.7247842328946,-4.06580488698663,-0.004484331303035494,8.178685287952955,17.627395703071695,17.267597073014308,0.013333333333333334,12.218463871209483,47.896378375141175
aipw,0.75,75.0,563.1479483750549,-3.6426407448260716,0.0005820982058838964,7.681210827002424,17.304034386034626,17.030202932719163,0.013333333333333334,13.285166363325603,52.07785214423637
aipw,1.0,75.0,558.1242557973158,-8.666333322565434,-0.007858077004019443,11.181610406586545,25.68754564062806,24.34433451034476,0.013333333333333334,15.082806758161178,59.1246024919918
aipw,1.5,75.0,557.5023125033618,-9.288276616519257,-0.015322056533554368,12.00222694203585,27.04503115087188,25.571077955720845,0.013333333333333334,17.86510530132805,70.03121278120597
aipw,2.0,75.0,558.2184888591585,-8.572100260722651,-0.007835982987499934,17.807333666865087,41.56406567216308,40.94439190783895,0.013333333333333334,22.07345958742068,86.52796158268904
ipw,0.1,75.0,565.6965004627353,-1.0940886571459105,-0.00041517275242822574,5.751648885425181,13.522108688548757,13.56853449865209,0.013333333333333334,11.47497163465278,44.98188880783889
ipw,0.25,75.0,566.1886851879206,-0.6019039319604926,0.004247911847271579,6.423303454885509,15.27453752601497,15.365453802752585,0.013333333333333334,12.09425746825668,47.409489275566166
ipw,0.5,75.0,562.9468503554415,-3.8437387644395207,-0.0005880127506465715,8.146381750615333,17.57801968557816,17.268129379707254,0.013333333333333334,11.932892198475265,46.77693741802304
ipw,0.75,75.0,563.2294118702199,-3.561177249661226,0.002555513677399146,7.6802882012357685,17.320379635536423,17.06447136861073,0.013333333333333334,13.257274122701238,51.96851456098884
ipw,1.0,75.0,557.4998569973683,-9.290732122512892,-0.008004782884373562,11.780777391828849,27.283224745035632,25.825361692265137,0.013333333333333334,15.879987432522945,62.24955073548995
ipw,1.5,75.0,559.4981831068386,-7.29240601304244,-0.0062666644305057195,10.913498490741599,25.02150689057124,24.09644097898896,0.013333333333333334,18.19167238185885,71.3113557368867
ipw,2.0,75.0,564.245017002593,-2.5455721172881383,0.0005170294945489907,15.466366042083383,37.229720259888744,37.39271319241841,0.013333333333333334,21.91285725294981,85.89840043156325
naive,0.1,75.0,567.0326408222986,0.24205170241741977,-0.001454804726224751,5.242436089971289,12.172346280588414,12.251892777705685,0.013333333333333334,11.714409331944495,45.920484581222446
naive,0.25,75.0,568.1053307558526,1.3147416359715145,-0.0006119599986957013,5.24389311693481,12.759454711530932,12.777003953719484,0.013333333333333334,11.711408076415594,45.90871965954913
naive,0.5,75.0,566.5883316840699,-0.20225743581116173,0.005746421302408072,5.954045720996026,13.910358186177511,14.002551292535315,0.013333333333333334,11.713093910944538,45.91532813090258
naive,0.75,75.0,567.5933621965956,0.8027730767145225,0.010152902204054376,7.85552321313971,20.594667772245046,20.717596712709156,0.013333333333333334,11.72138302275246,45.947821449189654
naive,1.0,75.0,567.78099105813,0.9904019382488246,0.010186122595381875,9.262047103195632,26.443037119695628,26.602427929372915,0.013333333333333334,11.718213384664097,45.935396467883265
naive,1.5,75.0,568.2975705358598,1.5069814159786192,0.00798628852851424,13.138484090955322,39.56470858396699,39.802237124067965,0.013333333333333334,11.730745951668693,45.98452413054126
naive,2.0,75.0,568.4587956467233,1.668206526842163,0.00888801934836958,17.415378583155334,50.79885058939001,51.11335086526793,0.013333333333333334,11.732038111129729,45.98958939562852
outcome_regression,0.1,75.0,565.8006732139519,-0.9899159059292751,-0.005017594156995903,5.715585861466862,13.474735859012151,13.528819574912788,0.013333333333333334,11.435242038612206,44.826148791359856
outcome_regression,0.25,75.0,567.1066268267315,0.3160377068503885,0.001456765096065682,6.405228828990717,15.231249998066849,15.330517282205232,0.013333333333333334,11.964634526720683,46.901367344745054
outcome_regression,0.5,75.0,566.5241462134948,-0.2664429063864322,-0.00815000341219524,6.493006632291078,15.420355606924804,15.52187999794467,0.013333333333333334,11.746887973501046,46.04780085612408
