method,pattern,n_datasets,mean_ate,mean_bias,median_bias,mean_abs_bias,rmse,bias_std,coverage,mean_se,mean_ci_width
aipw,age,105.0,557.6592672349959,-9.131321884885242,-0.0171475047625107,9.500007095151483,23.955207568621752,22.252797507903942,0.009523809523809525,13.5171422303115,52.987197542821065
aipw,demo_basic,105.0,565.6346222678949,-1.1559668519863724,0.004050931040153527,10.364141854043542,26.62074183497277,26.72318962540283,0.009523809523809525,16.24236940927706,63.67008808436608
aipw,demo_full,105.0,560.8840320689723,-5.906557050908771,-0.0148702911277863,11.033554674416768,28.090984986111618,27.59471142125133,0.009523809523809525,16.99999895749338,66.63999591337405
aipw,gender,105.0,565.1867923887149,-1.6037967311661225,-0.0005872477598161119,9.332469781976913,21.30257052473274,21.343993803802466,0.009523809523809525,13.650180407722226,53.50870719827112
aipw,polideo,105.0,558.8374026356705,-7.953186484210621,-0.0035467661258485883,9.064194901461715,20.833083674625254,19.34759004442881,0.009523809523809525,13.876162128079367,54.39455554207111
ipw,age,105.0,560.0584777878263,-6.732111332054781,-0.011330560927822697,7.88162584151147,19.677851659571886,18.579127792115333,0.009523809523809525,13.684226797992434,53.64216904813033
ipw,demo_basic,105.0,567.6212755157773,0.8306863958960765,0.004635096436291203,9.94361393865166,25.3068077021548,25.41448141079425,0.009523809523809525,16.11207447933237,63.159331958982875
ipw,demo_full,105.0,562.0985809065368,-4.692008213344382,0.0005170294945489907,10.74092993695746,27.793643086011713,27.526128106282965,0.009523809523809525,17.17448085661221,67.32396495791987
ipw,gender,105.0,565.1476779901298,-1.6429111297513175,-0.0030519387964520472,9.465809690597746,21.480481602248243,21.520284025695695,0.009523809523809525,13.5714536138719,53.20009816637784
ipw,polideo,105.0,558.8629199305279,-7.927669189353185,-0.0011854695273725568,9.226780747149968,20.967209262882655,19.503814266321612,0.009523809523809525,14.274844603203631,55.95739084455824
naive,age,105.0,570.1782495345676,3.3876604146864566,0.009256829326978439,9.156218898135572,27.492758073545083,27.414101483885197,0.009523809523809525,11.714989825133776,45.92276011452443
naive,demo_basic,105.0,572.9652293711686,6.174640251287508,0.00798628852851424,9.999539595574186,26.699475051070166,26.1002611071966,0.009523809523809525,11.628728414679482,45.584615385543565
naive,demo_full,105.0,571.0999976173638,4.309408497482653,0.020890398632821716,6.094245677119109,19.041947606404015,18.636863939494578,0.009523809523809525,11.717432857346154,45.93233680079692
naive,gender,105.0,561.768070889852,-5.022518230029129,-0.01872681087085426,14.564168074844664,46.035148635540466,45.97982084098241,0.009523809523809525,11.77024515049353,46.13936098993464
naive,polideo,105.0,562.4577545152836,-4.332834604597558,0.014182378113064331,5.979976267432269,13.173825576002711,12.500578287621506,0.009523809523809525,11.769526459146775,46.136543719855354
outcome_regression,age,105.0,568.5706126324928,1.7800235126116801,-0.017098487279455083,7.67636248090521,19.67304856677368,19.686323200859448,0.009523809523809525,12.47566166511202,48.904593727239124
outcome_regression,demo_basic,105.0,578.3833680645613,11.59277894468017,0.0049608279770478325,13.506516879906581,31.969597550681986,29.93656395817806,0.009523809523809525,12.723143674520134,49.874723204118936
outcome_regression,demo_full,105.0,575.8015403609544,9.01095124107332,0.002128208646070412,9.950037737085513,24.653462042301182,23.05773993658039,0.009523809523809525,13.275919968371047,52.04160627601449
outcome_regression,gender,105.0,572.1169051417875,5.326316021906466,0.002363917858785508,10.424694343747692,22.67548664284357,22.14676688356538,0.009523809523809525,13.002830221153529,50.971094466921855
outcome_regression,polideo,105.0,567.452594010025,0.6620048901438781,0.004027022325168017,8.397310163252,19.90395024442577,19.98834838726971,0.009523809523809525,13.186980981949233,51.69296544924098
psm,age,98.0,596.8981207395213,-10.358954366327094,0.009170790857432318,26.992642385867963,70.62532677225197,70.22068503955202,0.01020408163265306,12.751890041202802,49.987408961514966
psm,demo_basic,98.0,629.2970191674408,22.039944061592426,0.03660775908745381,31.448491692001273,72.53226929182152,69.45789746978545,0.01020408163265306,12.131577600636222,47.555784194493995
psm,demo_full,98.0,603.4330686357123,-3.8240064701362297,0.018431434034152303,35.935258288913644,91.74550578155548,92.13707017554437,0.01020408163265306,12.556461018459117,49.22132719235973
psm,gender,98.0,633.9247437124853,26.667668606636777,0.005479797759625189,44.17358981112996,95.2056963945678,91.86442765045881,0.01020408163265306,11.903520677624131,46.661801056286585
psm,polideo,98.0,621.4693719734355,14.212296867587021,0.034595379177678784,28.51540607066175,62.13687405896877,60.800685875610874,0.01020408163265306,12.253767673464017,48.03476927997894
